               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  56,              1.8674,              2.4712,              1.6688,             0.37355,             0.28435,              0.2707,             0.17827,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.8502,              2.4419,              1.6626,             0.34835,             0.29072,             0.26979,             0.17867,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.8504,              2.4526,               1.662,             0.38913,             0.26959,             0.26726,             0.17672,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.8514,               2.443,              1.6607,             0.38987,             0.28312,             0.27593,             0.17993,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.8494,              2.4404,              1.6551,             0.43023,             0.27525,             0.27408,             0.17934,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.8468,              2.4125,              1.6555,             0.45577,             0.26902,             0.27632,             0.18106,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.8381,              2.4048,              1.6538,             0.39308,             0.28131,             0.27976,             0.18216,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.8358,              2.3944,               1.647,              0.4128,             0.28161,             0.27728,             0.18073,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.8299,              2.3954,              1.6457,             0.40673,              0.2948,             0.28565,             0.19065,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,               1.826,              2.3862,              1.6441,             0.41677,             0.28801,             0.28517,             0.18815,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.8252,              2.3724,              1.6475,             0.41265,             0.28433,             0.28712,             0.19162,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.8181,              2.3538,              1.6363,             0.41027,             0.29513,             0.28468,              0.1899,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.8141,              2.3458,              1.6379,             0.42065,             0.28681,              0.2867,               0.192,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.8121,              2.3547,               1.633,             0.42873,             0.29384,             0.29093,             0.19597,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.8046,              2.3338,              1.6289,             0.42956,             0.29057,             0.29075,             0.19544,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,               1.802,                2.34,              1.6311,             0.46781,             0.27754,             0.29168,             0.19558,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.8114,              2.3213,              1.6325,              0.4437,             0.28508,             0.29123,             0.19417,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.8011,              2.3273,              1.6248,             0.44654,             0.28325,             0.29449,             0.19821,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.7902,              2.3155,              1.6278,              0.4438,             0.28017,             0.29546,             0.19778,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.7936,               2.301,              1.6203,             0.46915,             0.27393,             0.29259,             0.19809,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.8024,               2.298,              1.6221,             0.43292,             0.27635,             0.29258,              0.1974,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.7877,              2.2952,              1.6235,             0.42728,             0.28077,             0.29259,             0.19664,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.7842,              2.2921,              1.6216,             0.40075,             0.29696,             0.29436,             0.19734,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.7824,               2.285,              1.6169,             0.42261,             0.28282,             0.29298,             0.19491,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.7778,              2.2649,              1.6103,             0.39766,             0.29468,             0.29276,             0.19664,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,               1.764,              2.2624,              1.6066,             0.39989,             0.29846,             0.29647,              0.1991,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.7649,              2.2404,              1.6106,             0.39089,             0.30809,             0.29642,             0.19891,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.7553,               2.245,              1.6048,              0.3954,             0.30156,             0.29693,             0.20039,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.7601,              2.2368,              1.6061,             0.40106,             0.29352,             0.29921,              0.2021,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.6967,              2.0373,              1.6875,             0.40227,             0.30612,             0.30156,             0.20257,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.6855,              1.9923,              1.6772,             0.39751,             0.31139,             0.30315,             0.20418,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.6655,              1.9673,              1.6678,             0.38361,             0.31929,             0.30238,             0.20377,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.6597,              1.9445,              1.6568,             0.41063,             0.30974,             0.30267,             0.20437,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.6541,              1.9321,              1.6567,             0.41879,             0.30555,             0.30334,             0.20465,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.6544,              1.9217,              1.6521,             0.42759,             0.30701,             0.30628,             0.20711,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.6421,              1.8924,              1.6489,             0.41867,             0.31368,             0.30578,             0.20706,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.6405,               1.884,               1.645,              0.4209,             0.31947,              0.3109,             0.20895,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.6258,              1.8646,              1.6361,              0.4165,             0.32039,             0.31182,             0.21005,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,                1.62,                1.85,              1.6334,             0.42175,             0.31579,              0.3107,             0.21004,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.6265,              1.8331,              1.6297,             0.41797,             0.31479,             0.31171,             0.20977,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.6218,              1.8194,              1.6279,             0.41588,             0.31282,             0.31312,             0.21062,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.6164,              1.8259,               1.624,             0.41889,             0.30986,             0.31233,             0.21073,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.6042,              1.7906,              1.6215,             0.42763,             0.30775,             0.31197,             0.21056,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.6007,              1.7917,                1.62,             0.39772,             0.31364,             0.31194,             0.21075,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
                  99,              1.6007,              1.7917,                1.62,             0.41885,             0.30999,             0.31231,             0.21067,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
f
