epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/cls_loss,val/dfl_loss,x/lr0,x/lr1,x/lr2,train/box_loss_dropout,train/cls_loss_dropout,train/dfl_loss_dropout,metrics/precision_dropout,metrics/recall_dropout,metrics/mAP_0.5_dropout,metrics/mAP_0.5:0.95_dropout,val/box_loss_dropout,val/cls_loss_dropout,val/dfl_loss_dropout,x/lr0_dropout,x/lr1_dropout,x/lr2_dropout
82,1.7649,2.2404,1.6106,0.39089,0.30809,0.29642,0.19891,0,0,0,0.001981,0.001981,0.001981,2.01,2.5869,1.6529,0.46071,0.24619,0.2627,0.16209,0,0,0,0.001981,0.001981,0.001981
83,1.7553,2.245,1.6048,0.3954,0.30156,0.29693,0.20039,0,0,0,0.001882,0.001882,0.001882,2.004,2.5988,1.649,0.4663,0.24718,0.26255,0.16291,0,0,0,0.001882,0.001882,0.001882
84,1.7601,2.2368,1.6061,0.40106,0.29352,0.29921,0.2021,0,0,0,0.001783,0.001783,0.001783,2.0118,2.5959,1.653,0.43248,0.26089,0.25948,0.16232,0,0,0,0.001783,0.001783,0.001783
85,1.6967,2.0373,1.6875,0.40227,0.30612,0.30156,0.20257,0,0,0,0.001684,0.001684,0.001684,1.9501,2.4319,1.752,0.42743,0.26411,0.26175,0.16314,0,0,0,0.001684,0.001684,0.001684
86,1.6855,1.9923,1.6772,0.39751,0.31139,0.30315,0.20418,0,0,0,0.001585,0.001585,0.001585,1.9387,2.3817,1.7446,0.41165,0.2743,0.26458,0.16493,0,0,0,0.001585,0.001585,0.001585
87,1.6655,1.9673,1.6678,0.38361,0.31929,0.30238,0.20377,0,0,0,0.001486,0.001486,0.001486,1.9303,2.3652,1.7391,0.41887,0.2736,0.26602,0.16662,0,0,0,0.001486,0.001486,0.001486
88,1.6597,1.9445,1.6568,0.41063,0.30974,0.30267,0.20437,0,0,0,0.001387,0.001387,0.001387,1.9161,2.3346,1.7242,0.41597,0.26896,0.26842,0.16801,0,0,0,0.001387,0.001387,0.001387
89,1.6541,1.9321,1.6567,0.41879,0.30555,0.30334,0.20465,0,0,0,0.001288,0.001288,0.001288,1.9205,2.3295,1.7314,0.40443,0.28866,0.27006,0.16948,0,0,0,0.001288,0.001288,0.001288
90,1.6544,1.9217,1.6521,0.42759,0.30701,0.30628,0.20711,0,0,0,0.001189,0.001189,0.001189,1.9148,2.3149,1.7247,0.40845,0.28669,0.26995,0.16872,0,0,0,0.001189,0.001189,0.001189
91,1.6421,1.8924,1.6489,0.41867,0.31368,0.30578,0.20706,0,0,0,0.00109,0.00109,0.00109,1.9053,2.2943,1.7263,0.42928,0.27459,0.27027,0.16963,0,0,0,0.00109,0.00109,0.00109
92,1.6405,1.884,1.645,0.4209,0.31947,0.3109,0.20895,0,0,0,0.000991,0.000991,0.000991,1.8978,2.2861,1.7195,0.46007,0.26695,0.27185,0.17097,0,0,0,0.000991,0.000991,0.000991
93,1.6258,1.8646,1.6361,0.4165,0.32039,0.31182,0.21005,0,0,0,0.000892,0.000892,0.000892,1.8903,2.2749,1.7135,0.44083,0.27083,0.2724,0.1708,0,0,0,0.000892,0.000892,0.000892
94,1.62,1.85,1.6334,0.42175,0.31579,0.3107,0.21004,0,0,0,0.000793,0.000793,0.000793,1.8901,2.2646,1.7142,0.44999,0.26905,0.27448,0.17188,0,0,0,0.000793,0.000793,0.000793
95,1.6265,1.8331,1.6297,0.41797,0.31479,0.31171,0.20977,0,0,0,0.000694,0.000694,0.000694,1.8981,2.25,1.707,0.44782,0.28229,0.27679,0.1721,0,0,0,0.000694,0.000694,0.000694
96,1.6218,1.8194,1.6279,0.41588,0.31282,0.31312,0.21062,0,0,0,0.000595,0.000595,0.000595,1.8863,2.2282,1.7024,0.44406,0.28228,0.27711,0.17174,0,0,0,0.000595,0.000595,0.000595
97,1.6164,1.8259,1.624,0.41889,0.30986,0.31233,0.21073,0,0,0,0.000496,0.000496,0.000496,1.8835,2.2405,1.7016,0.44107,0.28167,0.27664,0.17205,0,0,0,0.000496,0.000496,0.000496
98,1.6042,1.7906,1.6215,0.42763,0.30775,0.31197,0.21056,0,0,0,0.000397,0.000397,0.000397,1.8729,2.2148,1.7015,0.44782,0.27902,0.27661,0.1719,0,0,0,0.000397,0.000397,0.000397
99,1.6007,1.7917,1.62,0.39772,0.31364,0.31194,0.21075,0,0,0,0.000298,0.000298,0.000298,1.8685,2.2051,1.6976,0.45186,0.27511,0.27652,0.17203,0,0,0,0.000298,0.000298,0.000298
99,1.6007,1.7917,1.62,0.41885,0.30999,0.31231,0.21067,0,0,0,0.000298,0.000298,0.000298,1.8685,2.2051,1.6976,0.44084,0.27623,0.27557,0.17201,0,0,0,0.000298,0.000298,0.000298
