               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  66,              2.0656,              2.7058,              1.6819,             0.41101,             0.25214,             0.24359,             0.15311,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.0581,               2.688,              1.6742,             0.38907,             0.25704,             0.24702,             0.15334,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.0518,              2.6759,              1.6733,             0.35581,             0.27248,             0.25407,             0.15599,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              2.0534,               2.685,               1.669,              0.4075,             0.27607,             0.25374,             0.15659,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              2.0486,              2.6694,              1.6691,              0.3897,             0.27632,             0.25644,             0.15836,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              2.0455,              2.6678,              1.6689,             0.38475,             0.26681,             0.25271,             0.15875,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              2.0598,              2.6551,              1.6719,             0.39241,             0.28345,             0.25719,             0.15859,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              2.0489,              2.6602,              1.6648,             0.40982,             0.26714,             0.25922,             0.16051,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              2.0296,               2.653,              1.6673,             0.40576,             0.27148,              0.2579,             0.15999,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              2.0392,              2.6462,              1.6606,             0.39831,             0.27654,             0.26091,             0.16082,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              2.0473,              2.6358,              1.6649,             0.40157,             0.27795,             0.26054,             0.16119,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              2.0368,              2.6423,               1.667,             0.40232,             0.27082,             0.26146,             0.16184,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              2.0294,              2.6338,              1.6634,             0.40959,             0.26868,             0.26309,             0.16188,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              2.0281,              2.6259,              1.6594,             0.40449,             0.26121,             0.26005,             0.16134,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              2.0264,              2.6137,              1.6531,             0.40459,             0.25823,             0.25983,               0.161,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              2.0118,              2.6106,              1.6498,             0.42123,              0.2561,             0.25833,             0.16084,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,                2.01,              2.5869,              1.6529,             0.46071,             0.24619,              0.2627,             0.16209,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,               2.004,              2.5988,               1.649,              0.4663,             0.24718,             0.26255,             0.16291,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              2.0118,              2.5959,               1.653,             0.43248,             0.26089,             0.25948,             0.16232,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.9501,              2.4319,               1.752,             0.42743,             0.26411,             0.26175,             0.16314,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.9387,              2.3817,              1.7446,             0.41165,              0.2743,             0.26458,             0.16493,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.9303,              2.3652,              1.7391,             0.41887,              0.2736,             0.26602,             0.16662,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.9161,              2.3346,              1.7242,             0.41597,             0.26896,             0.26842,             0.16801,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.9205,              2.3295,              1.7314,             0.40443,             0.28866,             0.27006,             0.16948,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.9148,              2.3149,              1.7247,             0.40845,             0.28669,             0.26995,             0.16872,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.9053,              2.2943,              1.7263,             0.42928,             0.27459,             0.27027,             0.16963,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.8978,              2.2861,              1.7195,             0.46007,             0.26695,             0.27185,             0.17097,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.8903,              2.2749,              1.7135,             0.44083,             0.27083,              0.2724,              0.1708,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.8901,              2.2646,              1.7142,             0.44999,             0.26905,             0.27448,             0.17188,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.8981,                2.25,               1.707,             0.44782,             0.28229,             0.27679,              0.1721,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.8863,              2.2282,              1.7024,             0.44406,             0.28228,             0.27711,             0.17174,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.8835,              2.2405,              1.7016,             0.44107,             0.28167,             0.27664,             0.17205,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.8729,              2.2148,              1.7015,             0.44782,             0.27902,             0.27661,              0.1719,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.8685,              2.2051,              1.6976,             0.45186,             0.27511,             0.27652,             0.17203,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
                  99,              1.8685,              2.2051,              1.6976,             0.44084,             0.27623,             0.27557,             0.17201,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
